"sent_seq_id","X.AUTHID","binLabelScr","WhetherNeg","NegScr"
1,"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",0.8,1,0.298
2,"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",0.6,0,0
3,"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",0.6,0,0
4,"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",0.8,0,0
5,"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",0.8,0,0
6,"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",0.4,0,0
7,"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",0.8,0,0
8,"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",0.8,0,0.067
9,"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",0.8,0,0.058
10,"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",0.6,0,0
11,"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",0.6,0,0
12,"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",0.8,0,0
13,"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",0.6,0,0
14,"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",0.8,0,0
15,"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",0.8,0,0
16,"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",0.6,0,0
17,"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",0.8,0,0
18,"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",0.8,0,0
19,"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",0.8,0,0
20,"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",0.8,0,0
21,"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",0.8,0,0.045
22,"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",0.8,0,0
23,"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",0.8,0,0
24,"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",0.8,0,0
25,"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",0.8,0,0
26,"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",0.6,0,0
27,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.2,0,0
28,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.4,0,0
29,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.4,0,0
30,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.4,0,0
31,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.4,0,0
32,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.4,0,0
33,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.4,0,0.12
34,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.4,0,0
35,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.2,0,0.08
36,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.2,0,0
37,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.2,0,0
38,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.4,0,0
39,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.4,0,0.034
40,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.4,0,0
41,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.4,0,0
42,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.6,0,0
43,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.4,1,0.132
44,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.2,0,0
45,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.4,0,0
46,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.4,0,0
47,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.4,0,0
48,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.2,0,0
49,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.4,1,0.247
50,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.4,0,0
51,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.4,0,0
52,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.2,0,0
53,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.4,0,0
54,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.4,0,0
55,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.2,0,0
56,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.4,0,0
57,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.6,0,0
58,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.4,0,0
59,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.4,1,0.328
60,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.2,0,0
61,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.2,0,0
62,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.2,0,0
63,"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",0.4,1,0.17
64,"b'http://blog.searsholdings.com/inside-shc/why-im-proud-to-be-a-part-of-sears-holdings/'",0.2,0,0.091
65,"b'http://blog.searsholdings.com/inside-shc/why-im-proud-to-be-a-part-of-sears-holdings/'",0.4,1,0.209
